FILTROS;;;;;;;;;;;;;;;;;
;15926 Registros;;;;;;;;;;;;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;COD_ITEM;DESCR_ITEM;COD_BARRA;COD_ANT_ITEM;UNID_INV;TIPO_ITEM;COD_NCM;EX_IPI;COD_GEN;COD_LST;ALIQ_ICMS;CEST;
0200;11/2025-07329932000121;9136C567D684C5F2E09888B2DC64120B;C3B160F9EBB55FDBC4BC56B4B459A4EB;53E461811F7E451BB74DDBFC5FA80E2A;7;EUCATEX  ESMALTE SINTETICO VERDE NILO 3600 ML;7896587023302;;LA;07 - Material de Uso e Consumo;32081010;;32;;0;;
0200;11/2025-07329932000121;ABA3C6EB2578D3D4C0E4B2138BA694C6;C3B160F9EBB55FDBC4BC56B4B459A4EB;53E461811F7E451BB74DDBFC5FA80E2A;10;SILICONE AMANCO 50G;;;UN;07 - Material de Uso e Consumo;35061090;;35;;0;;
0200;11/2025-07329932000121;B2D4E2212E7D1118425ACA6256E5771C;C3B160F9EBB55FDBC4BC56B4B459A4EB;53E461811F7E451BB74DDBFC5FA80E2A;11;MASSA EUCATEX P.V.A PEG PINTE 18 LT;;;LA;07 - Material de Uso e Consumo;85389090;;85;;0;;
0200;11/2025-07329932000121;21049C25A67504393434EC35798FBF03;C3B160F9EBB55FDBC4BC56B4B459A4EB;53E461811F7E451BB74DDBFC5FA80E2A;21;CIMENTO CIPLAM 50 LK;;;UN;07 - Material de Uso e Consumo;25232990;;25;;0;;
0200;11/2025-07329932000121;59F320AF604217551B06DA4333288079;C3B160F9EBB55FDBC4BC56B4B459A4EB;53E461811F7E451BB74DDBFC5FA80E2A;29;ACUCAR PURACUCAR CRISTAL 2 KG;7898066170019;;UN;07 - Material de Uso e Consumo;17019900;;17;;0;1710302;
0200;11/2025-07329932000121;629D4A9670C1C86670A8DC620F376D88;C3B160F9EBB55FDBC4BC56B4B459A4EB;53E461811F7E451BB74DDBFC5FA80E2A;31;AGUA DE COCO 300ML VERDE;7898376270058;;UN;07 - Material de Uso e Consumo;20098990;;20;;0;;
0200;11/2025-07329932000121;F04B55343C5E785242D3BC06EC9FAD6C;C3B160F9EBB55FDBC4BC56B4B459A4EB;53E461811F7E451BB74DDBFC5FA80E2A;32;AGUA SANIT 1 LT Q BOA;7896083800018;;UN;07 - Material de Uso e Consumo;28289011;;28;;0;1100100;
0200;11/2025-07329932000121;8B552A0F8EB33C72FCE3BBDF8EA78FC5;C3B160F9EBB55FDBC4BC56B4B459A4EB;53E461811F7E451BB74DDBFC5FA80E2A;38;AMAC COMFORT 2 LT PEROLAS DE VIOLETA;7898422746285;;UN;07 - Material de Uso e Consumo;30042099;;30;;0;1100800;
0200;11/2025-07329932000121;1A44E70F33551057027C211966CF9958;C3B160F9EBB55FDBC4BC56B4B459A4EB;53E461811F7E451BB74DDBFC5FA80E2A;46;ARROZ BREJEIRO 5KG;7896003511154;;UN;07 - Material de Uso e Consumo;10063021;;10;;0;;
