FILTROS;;;;;;;
;10 Registros;;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;COD_NAT;DESCR_NAT;
0400;09/2025-67903807000105;853D57FD5F6C7AA5BD0D94FAE93E0116;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;1110;1102 - COMPRA PRODUTOR RURAL;
0400;09/2025-67903807000105;1E640981ECD42F4C9C135EF8380EB5A1;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;1151;1102 - COMPRA P/ COMERCIALIZAÇÃO;
0400;09/2025-67903807000105;E5049A64661913D881D406A77EA8DFE8;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;1152;2102 - COMPRA P/ COMERCIALIZAÇÃO;
0400;09/2025-67903807000105;AA8215A98E71532D1BEE5F941F332401;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;1154;1117 - COMPRA P/ COM ENCOM RECEBI FUTURO;
0400;09/2025-67903807000105;F6A45B24963E964C1DBABA91A1977016;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;1251;1202 - DEVOLUÇÃO DE VENDA MERCADO ADQ 3º;
0400;09/2025-67903807000105;47323C68C03E7CEA65BDCA2EFDE76C0C;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;1402;1403 - COMPRA P/ COMERCIALIZAÇÃO C/ ST;
0400;09/2025-67903807000105;F828BB64BD0665CB1476B0F7CD2C6F21;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;1408;1411 - DEVOLUÇÃO DE VENDA MERCA 3º C/ ST;
0400;09/2025-67903807000105;E5D1A35E38A715086B6CEB970FBFE15D;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;1917;1910 - ENTRADA BONIFICAÇÃO/DOAÇÃO/BRINDE;
0400;09/2025-67903807000105;A72442857F752C4D858FD251155FD77A;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;5251;5202 - DEVOLUÇÃO COMPRA P/ COMERCIALIZAÇ;
0400;09/2025-67903807000105;A645C2D12F517CB778D46ADDBDAB5F91;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;5408;5411 - DEVOLUÇÃO COMP P/ COMERCIAL C/ ST;
