FILTROS;;;;;;;
;136 Registros;;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;COD_INF;TXT;
0450;09/2025-67903807000105;1BCB1765D525A1896A9624F9551D5362;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;1;VFCPST4,20;
0450;09/2025-67903807000105;74B8B1104DA84E9466801B5FF60BEB66;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;2;Valores Totais FCP ST R 2980;
0450;09/2025-67903807000105;8095B6CAB5B5E8246C054AE9A37F465B;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;3;ICMS RECOLHIDO EM CONTA GRAFICA CONFORME ATO CONCESSORIO N. 22/2016 CONDER , VENDA EFETUADA COM ALIQUOTA ZERO DA CONTRIBUICAO PARA O PIS E DA COFINS CONFORME INCISO XIX DO ART. 1 DA LEI 10.925/2004 , REDUCAO DA BASE DE CALCULO P/ 58.34% ITEM 18 PARTE 2;
0450;09/2025-67903807000105;34A485FBDE5D47DDA305CBA81CB35E5C;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;4;ICMS 12% CONFORME REGIME ESPECIAL EM MG PTA No 45.0000003806-44.,RECUSA/DEVOLUCOES SOMENTE NO ATO DA ENTREGA.NAO NOS RESPONSABILIZAMOS POR PRODUTOS MAL ACONDICIONADO,;
0450;09/2025-67903807000105;7EF135193CEBB6E1DBF09C655AF1C5E2;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;5;ICMS RETIDO NA FONTE POR SUBST. TRIBUTARIA COM BASE: 1.588,91 E VALOR: 165,03 PEDIDO CLIENTE: 187836;
0450;09/2025-67903807000105;027A567A9AD4A9F0A0784A73B473453F;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;6;ICMS RETIDO NA FONTE POR SUBST. TRIBUTARIA COM BASE: 2.741,20 E VALOR: 289,41 PEDIDO CLIENTE: 193814;
0450;09/2025-67903807000105;EDC428C61014CF4761E9ABE4B98C694E;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;7;Total aproximado de tributos federais, estaduais e municipais: R$ 325,16;
0450;09/2025-67903807000105;5C6625A018252442985C8FF51748470E;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;8;PRODUTO NT OU ALIQUOTA ZERO CONF. TIPI;
0450;09/2025-67903807000105;B337C0D634272DA427419C6918D2A018;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;9;FCP:0,00 FCP ST:0,00Valor aproximado dos tributos (Federal R$ 120,73) (Estadual R$ 62,83) (Municipal R$ 0,00) Fonte: IBPT,;
0450;09/2025-67903807000105;28B4AFB543ADCF92780459A1A54AB003;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;10;IPI ALIQUOTA ZERO DECRETO IPI 7212/10. PARA PRODUTOS COM BC ICMS REDUZIDA ART 51 ANEXO II REDUCOES ART 39 RICMS/00.;
0450;09/2025-67903807000105;37A3F0ECBE0CE949AA41D2F64AECEBB6;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;11;No Caso de retorno de mercadoria nao entregue ao destinatario (Art. 453, UNICO RICMS/SP) devera constar declaracao do destinatario/transportador no verso da Danfe do motivo da nao entregue com local, data e identificacao legivel (Carimbo e Assinat)B.C R;
0450;09/2025-67903807000105;B8E0558A016EAB9D125D3B16469A5225;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;12;CONF.ART. 52, INCISO I - RICMS/SP 2000 SECAO II - DA ALIQ (18%), B.C RED.A 12% NAS OP. INTERN CONF ART.39 (PROD. ALIM) DO ANEXO II RICMS/SP - INCISO II-LATICINIOS, No Caso de retorno de mercadoria nao entregue ao destinatario (Art. 453, UNICO RICMS/SP);
0450;09/2025-67903807000105;86CD7B1C211C2A5D0EFCAA93FEBA500F;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;13;,, BASE DE CALCULO REDUZIDA CONFORME ARTIGO 39, ANEXO II RICMS-SP, DECRETO 45.490/2000.BASE DE CALCULO REDUZIDA CONFORME ARTIGO 3, INCISO II DO ANEXO II RICMS-SP, DECRETO 45.490/2000.MERCADORIA SUJEITA AO REGIME DE SUBSTITUICAO TRIBUTARIA  PORTARIA SRE N;
0450;09/2025-67903807000105;83439F92E895F856D2F6A5EDA0BF7CD8;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;14;ART 39 INCISO  XI ANEXO II DO RICMS/SP;
0450;09/2025-67903807000105;4523A7DBF9ECCDD31DF338DCCE4833CE;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;15;Artigo 39, inciso VIII, do Anexo II do RICMS/SP;
0450;09/2025-67903807000105;B64F6A1D857D73E0EBF16204A4D24D1C;B847AF404930F95299EFE7E99FFC813B;DD499A78358AA062290DF8F593B9360C;16;NUM PED INTERNO: 161144 - COD VEND: 000189 - NOME: ALEXANDRE PINHEIRO                       Nas vendas FOB, a responsabilidade do emitente se encerra no ato da entrega das mercadorias na transportadora;
