FILTROS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1055 Registros;;;;;;;;;;;;;;;;;;;543251,3;0;2714,46;100503,5;;;440048,35;;7260,95000000001;440048,35;;33443,37;0;0;0;0;0;0;0;0 inconsistências;0 sugestões;
REG;ARQUIVO;CHV_PAI_CONTRIBUICOES;CHV_REG;COD_MOD;CHV_NFE;NUM_DOC;SER;COD_SIT;IND_OPER;DT_DOC;DT_ENT_SAI;COD_PART;NOME_RAZAO;COD_ITEM;DESCR_ITEM;COD_NCM;EX_IPI;CFOP;CST_ICMS;VL_ITEM;VL_DESP;VL_DESC;VL_ICMS;CST_PIS;CST_COFINS;VL_BC_PIS;ALIQ_PIS;VL_PIS;VL_BC_COFINS;ALIQ_COFINS;VL_COFINS;VL_NOVA_BC_PIS;VL_NOVO_VL_PIS;VL_NOVA_BC_COFINS;VL_NOVO_VL_COFINS;VL_PIS_RECUPERAR;VL_COFINS_RECUPERAR;VL_TOTAL_RECUPERAR;INCONSISTENCIA;SUGESTAO;
C170;09/2025-67903807000105;BB5B2EF01C1B2EAE8F27C47DA1C422CB;3804531371FE8BFFC354265C718F3A67;55;31250822021760000118550030000039461866343109;3946;3;00 - Documento Regular;0 - Entrada;45898;45902;FOR000000008;LATICINIOS ITERERE LTDA;97898948130799;QJO COTTAGE 250;04061090;;2102;000;102;;0;12,24;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;89,76;0,0165;1,48;89,76;0,076;6,82;;;;;;;;;;
C170;09/2025-67903807000105;ED6ABE1B75DE74D6924792787BFB1D33;3760D55B02121A092DE18111134AC3D0;55;35250804767553000125550010003418681232718226;341868;1;00 - Documento Regular;0 - Entrada;45898;45901;FOR000000087;SPEERS FOODS IMP EXP COM ALIM LTDA;70025;FUTURO BURGER DEF. 15X230GR. F.FUTURO;21069090;;1102;020;805,5;;0;96,67;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;708,83;0,0165;11,7;708,83;0,076;53,87;;;;;;;;;;
C170;09/2025-67903807000105;ED6ABE1B75DE74D6924792787BFB1D33;F6CE88A4AA342EE9DFCB4C4A42B95BB2;55;35250804767553000125550010003418681232718226;341868;1;00 - Documento Regular;0 - Entrada;45898;45901;FOR000000087;SPEERS FOODS IMP EXP COM ALIM LTDA;70007;FUTURO LINGUICA 15 X 250GR F.FUTURO;21069090;;1102;020;895,5;;0;107,47;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;788,03;0,0165;13;788,03;0,076;59,89;;;;;;;;;;
C170;09/2025-67903807000105;ED6ABE1B75DE74D6924792787BFB1D33;40827044337F8F2142C35DBD6C9786FA;55;35250804767553000125550010003418681232718226;341868;1;00 - Documento Regular;0 - Entrada;45898;45901;FOR000000087;SPEERS FOODS IMP EXP COM ALIM LTDA;70024;FUTURO FRANGO 15 X 200GR F.FUTURO;21069090;;1102;020;223,5;;0;26,82;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;196,68;0,0165;3,25;196,68;0,076;14,95;;;;;;;;;;
C170;09/2025-67903807000105;ED6ABE1B75DE74D6924792787BFB1D33;9E3F4970D1189928B87FF790634A1D69;55;35250804767553000125550010003418681232718226;341868;1;00 - Documento Regular;0 - Entrada;45898;45901;FOR000000087;SPEERS FOODS IMP EXP COM ALIM LTDA;70059;FUTURO ALMONDEGA 15 X 275GR F.FUTURO;21069090;;1102;020;268,5;;0;32,22;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;236,28;0,0165;3,9;236,28;0,076;17,96;;;;;;;;;;
C170;09/2025-67903807000105;ED6ABE1B75DE74D6924792787BFB1D33;93F86E6578E39087EE3A49040E6EF565;55;35250804767553000125550010003418681232718226;341868;1;00 - Documento Regular;0 - Entrada;45898;45901;FOR000000087;SPEERS FOODS IMP EXP COM ALIM LTDA;70002;FUTURO CARNE MOIDA 15 X 270GR F.FUTURO;21069090;;1102;020;268,5;;0;32,22;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;236,28;0,0165;3,9;236,28;0,076;17,96;;;;;;;;;;
C170;09/2025-67903807000105;ED6ABE1B75DE74D6924792787BFB1D33;755A4A998EA7BD0014A8B444597A4563;55;35250804767553000125550010003418681232718226;341868;1;00 - Documento Regular;0 - Entrada;45898;45901;FOR000000087;SPEERS FOODS IMP EXP COM ALIM LTDA;97898948109783;FUTURO BURGER 2 X115GR X15 F.FUTURO;21069090;;1102;020;268,5;;0;32,22;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;236,28;0,0165;3,9;236,28;0,076;17,96;;;;;;;;;;
C170;09/2025-67903807000105;1D765921999D8350F73A6A7ED57020DF;3DBC0BE3E8BDAAEB44381C16441964B7;55;35250804767553000125550010003418691130238150;341869;1;00 - Documento Regular;0 - Entrada;45898;45901;FOR000000087;SPEERS FOODS IMP EXP COM ALIM LTDA;70007;FUTURO LINGUICA 15 X 250GR F.FUTURO;21069090;;1910;020;298,5;;0;35,82;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;262,68;0,0165;4,33;262,68;0,076;19,96;;;;;;;;;;
C170;09/2025-67903807000105;B31036754E262DD954D4D05829DBB1C2;FC21D8D14BE89D1E126CDAFD8231EBEC;55;35250806239190000857550000042974921112639917;4297492;0;00 - Documento Regular;0 - Entrada;45898;45901;FOR000001213;INFOCO DISTRIBUIDORA E LOGISTICA LTDA;2110911;AROMA BAUNILHA GRAN FINALE 30ML - 03UNX30ML - 13218;33021000;;1102;000;353,99;;0;63,72;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;290,27;0,0165;4,79;290,27;0,076;22,06;;;;;;;;;;
C170;09/2025-67903807000105;B31036754E262DD954D4D05829DBB1C2;4989E87CE1C8D440659959F36BF6BBCD;55;35250806239190000857550000042974921112639917;4297492;0;00 - Documento Regular;0 - Entrada;45898;45901;FOR000001213;INFOCO DISTRIBUIDORA E LOGISTICA LTDA;2110811;FERMENTO INST BIOLOGICO 4X69UNX10G - 1DPX69UNX10G - 12990;21021090;;1102;520;89,7;;0;10,76;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;78,94;0,0165;1,3;78,94;0,076;6;;;;;;;;;;
C170;09/2025-67903807000105;B31036754E262DD954D4D05829DBB1C2;5D4C26FE6FB7663D07ACCD7D57D4C362;55;35250806239190000857550000042974921112639917;4297492;0;00 - Documento Regular;0 - Entrada;45898;45901;FOR000001213;INFOCO DISTRIBUIDORA E LOGISTICA LTDA;78998572976999;FERMENTO QUIMICO 100G - 72UNX100GR - 51043;21023000;;1102;020;266,87;;0;32,03;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;234,84;0,0165;3,87;234,84;0,076;17,85;;;;;;;;;;
C170;09/2025-67903807000105;B31036754E262DD954D4D05829DBB1C2;3B5F2989C4A02891AB936B23EC1F6E40;55;35250806239190000857550000042974921112639917;4297492;0;00 - Documento Regular;0 - Entrada;45898;45901;FOR000001213;INFOCO DISTRIBUIDORA E LOGISTICA LTDA;2110912;GELATINA SEM SABOR GRAN FINALE 24G - 30UNX24G - 13239;21069029;;1102;020;175,89;;0;21,11;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;154,78;0,0165;2,55;154,78;0,076;11,76;;;;;;;;;;
C170;09/2025-67903807000105;B31036754E262DD954D4D05829DBB1C2;D7A675BD8E2B296C44586B500B0CED0A;55;35250806239190000857550000042974921112639917;4297492;0;00 - Documento Regular;0 - Entrada;45898;45901;FOR000001213;INFOCO DISTRIBUIDORA E LOGISTICA LTDA;2210022;TW CHA MISTO CAM CAN MAC 15G - 12DPSX10SCHX15GR - 25729;21069010;;1102;220;131,95;;0;15,83;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;116,12;0,0165;1,92;116,12;0,076;8,83;;;;;;;;;;
C170;09/2025-67903807000105;B31036754E262DD954D4D05829DBB1C2;6E64CE5431359DC7139F075B1BAF85AF;55;35250806239190000857550000042974921112639917;4297492;0;00 - Documento Regular;0 - Entrada;45898;45901;FOR000001213;INFOCO DISTRIBUIDORA E LOGISTICA LTDA;32010007;TW CHA MISTO DE CAMOMILA MEL E BAUNILHA 15G - 12DPX15GR - 18691;21069090;;1102;220;132;;0;15,84;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;116,16;0,0165;1,92;116,16;0,076;8,83;;;;;;;;;;
C170;09/2025-67903807000105;B31036754E262DD954D4D05829DBB1C2;A488624138AD8E8F30326C07FF446A4E;55;35250806239190000857550000042974921112639917;4297492;0;00 - Documento Regular;0 - Entrada;45898;45901;FOR000001213;INFOCO DISTRIBUIDORA E LOGISTICA LTDA;97898948117814;TW CHA MISTO DE LIMAO COM GENGIBRE 15G - 12DPSX10UNX15GR - 18738;21069090;;1102;220;131,95;;0;15,83;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;50 - Operação com Direito a Crédito – Vinculada Exclusivamente a Receita Tributada no Mercado Interno;116,12;0,0165;1,92;116,12;0,076;8,83;;;;;;;;;;
