FILTROS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16099808,5700002;18404,23;50638,06;671047,61;;127499,03;0;;0;142 inconsistências;142 sugestões;
REG;ARQUIVO;CHV_PAI_FISCAL;CHV_REG;CNPJ_ESTABELECIMENTO;UF_CONTRIB;COD_MOD;CHV_NFE;NUM_DOC;SER;COD_SIT;IND_OPER;DT_DOC;DT_ENT_SAI;COD_PART;TIPO_PART;CONTRIBUINTE;NOME_RAZAO;COD_ITEM;DESCR_ITEM;COD_BARRA;COD_NCM;EX_IPI;CEST;TIPO_ITEM;COD_INF_ITEM;COD_NAT;IND_MOV;UF_PART;CFOP;ST_SEM_LIBERACAO;CST_ICMS;VL_ITEM;VL_DESP;VL_DESC;VL_BC_ICMS;ALIQ_ICMS;VL_ICMS;VL_BC_ICMS_ST;ALIQ_ST;VL_ICMS_ST;INCONSISTENCIA;SUGESTAO;
C170;11/2025-07329932000121;F00D8FB4D48433E0D7D2D3D26EE8DC7C;24D1893CBAD6E0CD0F0B784ABC3E8FFA;07329932000121;PA;55;15251105054903000179558900039397861317185445;3939786;890;00 - Documento Regular;0 - Entrada;45989;45989;1854;PJ;NÃO;SECRETARIA DE ESTADO DA FAZENDA;70129;CIMENTO POTY CP II E 32 50 KG;7898324372513;68151900;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;153000;0;0;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;4EF24F2FC1371BA987B3798D7071B137;688517D6695914E9A0F429AE0F27BFEC;07329932000121;PA;55;15251105054903000179558900039397911610716246;3939791;890;00 - Documento Regular;0 - Entrada;45989;45989;1854;PJ;NÃO;SECRETARIA DE ESTADO DA FAZENDA;70129;CIMENTO POTY CP II E 32 50 KG;7898324372513;68151900;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;153000;0;0;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;4DB18C28CF84DE8D8D6D63F202E4C33F;F204BCD70DC57CDF881B7BB3EA94D137;07329932000121;PA;55;15251105054903000179558900039398071339001080;3939807;890;00 - Documento Regular;0 - Entrada;45989;45989;1854;PJ;NÃO;SECRETARIA DE ESTADO DA FAZENDA;70129;CIMENTO POTY CP II E 32 50 KG;7898324372513;68151900;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;153000;0;0;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;2978E57B173D5762099E23E956DC8507;E4153679D89E6CCD1F26BF5840C1DC63;07329932000121;PA;55;15251105054903000179558900039398081540527139;3939808;890;00 - Documento Regular;0 - Entrada;45989;45989;1854;PJ;NÃO;SECRETARIA DE ESTADO DA FAZENDA;70129;CIMENTO POTY CP II E 32 50 KG;7898324372513;68151900;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;153000;0;0;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;872D5552379ED9422681FC14F597E84C;5745C247717070C5786B3F60B1D6E272;07329932000121;PA;55;15251105054903000179558900039398101126974205;3939810;890;00 - Documento Regular;0 - Entrada;45989;45989;1854;PJ;NÃO;SECRETARIA DE ESTADO DA FAZENDA;70129;CIMENTO POTY CP II E 32 50 KG;7898324372513;68151900;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;153000;0;0;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;10BF853332E07DCF2517A788F17C830E;00FFD26DBD399CB69A96F2216694DD23;07329932000121;PA;55;15251105054903000179558900039398441940319394;3939844;890;00 - Documento Regular;0 - Entrada;45989;45989;1854;PJ;NÃO;SECRETARIA DE ESTADO DA FAZENDA;70129;CIMENTO POTY CP II E 32 50 KG;7898324372513;68151900;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;153000;0;0;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;DA4CC4F1CFF7156B0FB2378358BD19CF;A9F02CB8099F8368342BF122E999D0CF;07329932000121;PA;55;15251105054903000179558900039398501013572565;3939850;890;00 - Documento Regular;0 - Entrada;45989;45989;1854;PJ;NÃO;SECRETARIA DE ESTADO DA FAZENDA;70129;CIMENTO POTY CP II E 32 50 KG;7898324372513;68151900;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;153000;0;0;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;DCB62EA39B160B6517A64BFFCD57CAD1;9F2A1955E52297150FAFC1F37F2E5365;07329932000121;PA;55;15251105054903000179558900039398511124058310;3939851;890;00 - Documento Regular;0 - Entrada;45989;45989;1854;PJ;NÃO;SECRETARIA DE ESTADO DA FAZENDA;70129;CIMENTO POTY CP II E 32 50 KG;7898324372513;68151900;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;153000;0;0;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;9DD708DE616F0171DB4ADEE10FED9F0B;98F46FD4DF4BCAD665D6094643C2A6B4;07329932000121;PA;55;15251105054903000179558900039398521703162540;3939852;890;00 - Documento Regular;0 - Entrada;45989;45989;1854;PJ;NÃO;SECRETARIA DE ESTADO DA FAZENDA;70129;CIMENTO POTY CP II E 32 50 KG;7898324372513;68151900;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;153000;0;0;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;6A06F069E1A3CF6719CF3A135CEECC9A;505ADADE335BC5D7EE3FCBF4DA5F3E0B;07329932000121;PA;55;15251105054903000179558900039398801037003217;3939880;890;00 - Documento Regular;0 - Entrada;45989;45989;1854;PJ;NÃO;SECRETARIA DE ESTADO DA FAZENDA;70129;CIMENTO POTY CP II E 32 50 KG;7898324372513;68151900;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;153000;0;0;0;0;0;0;0;0;;;
C170;11/2025-07329932000121;D86C14448D5579FB3962A504A680F6C3;B93F914E115A96C2604686AFBD35AD7B;07329932000121;PA;55;15251108449911000102550010000174081000329110;17408;1;00 - Documento Regular;0 - Entrada;45966;45966;154;PJ;SIM;TUCUMA COMERCIO DE FERRO E ACO LTDA;55490;DC. FINO MET/INOX 7X1,6MMX 7/8;;68042211;;;00 - Mercadoria para Revenda;;1 - COMPRA DE PRODUTOS;0 - SIM;PA;1128;;090;250;0;0,09;0;0;0;0;0;0;;;
