FILTROS;;;;;;;;
;10 Registros;;;;1,89;81,99;0;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;VL_FCP_UF_DEST;VL_ICMS_UF_DEST;VL_ICMS_UF_REM;
C101;11/2025-57901554000187;8558CE41F93E7F9048906608049DAAE7;44AF0ACB20F6BCAE4111CBF1241B9166;;0;9,74;0;
C101;11/2025-57901554000187;8558CE41F93E7F9048906608049DAAE7;306DE811B9FB8D32AE9A605AE9A88FD0;;0;9,74;0;
C101;11/2025-57901554000187;8558CE41F93E7F9048906608049DAAE7;A78EFCE51DF33E8A86335F03F167BFEF;;0;5,62;0;
C101;11/2025-57901554000187;8558CE41F93E7F9048906608049DAAE7;E54F905E0386C5966F4719B00A8E767F;;0;16,73;0;
C101;11/2025-57901554000187;8558CE41F93E7F9048906608049DAAE7;7220BFDEA4CB8A5B68A1B99CC1681875;;0;6,24;0;
C101;11/2025-57901554000187;8558CE41F93E7F9048906608049DAAE7;B8869AE71D027A2A8BB5F607695A8EE4;;1,89;7,58;0;
C101;11/2025-57901554000187;8558CE41F93E7F9048906608049DAAE7;620281CFD6B45EC578EA52D9F2E76914;;0;3,75;0;
C101;11/2025-57901554000187;8558CE41F93E7F9048906608049DAAE7;894ED7673511DC2E94CE3F67FC969AA6;;0;10,12;0;
C101;11/2025-57901554000187;8558CE41F93E7F9048906608049DAAE7;618A00623AC090AC48AC976C8AC5304A;;0;4,16;0;
C101;11/2025-57901554000187;8558CE41F93E7F9048906608049DAAE7;3E0F30C8FFC2964BD0EE22343A4F5CD6;;0;8,31;0;
