FILTROS;;;;;;;
;236 Registros;;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;COD_INF;TXT_COMPL;
C110;09/2025-67903807000105;1B7782D23DBEAF9C1E7577755DBC99A2;909B1F59D03FDA3DFAD1B9A533C21AE5;909B1F59D03FDA3DFAD1B9A533C21AE5;1;;
C110;09/2025-67903807000105;5C7EB7ABF1224F7A443DC1A4076E8389;A3DC87BBE3AD3F2671F0ACFCF45D65BD;A3DC87BBE3AD3F2671F0ACFCF45D65BD;2;;
C110;09/2025-67903807000105;F8BCF81A5F32A42F992E359E52D27C2B;867EBC20124CEB0E02A6BE5BB065B609;867EBC20124CEB0E02A6BE5BB065B609;3;;
C110;09/2025-67903807000105;0639F2E9A3EECD5EDFC0F8F3FD130A9E;79218CB733E3C5D70DA8C7D977D1B301;79218CB733E3C5D70DA8C7D977D1B301;3;;
C110;09/2025-67903807000105;6FC3A243B126DB80FB1CCDCC4A03F76D;1F33BEAA4CBB19FFC93C1B4D87A5BE99;1F33BEAA4CBB19FFC93C1B4D87A5BE99;3;;
C110;09/2025-67903807000105;CD5B16E31F2A459DEB1FF52F03ECD2CD;A9921D88E6D79853C854658221D75842;A9921D88E6D79853C854658221D75842;3;;
C110;09/2025-67903807000105;CD59DB88521F8F2D2CEB73949054568F;212B60FA45F9F48697FD3738A848964C;212B60FA45F9F48697FD3738A848964C;4;;
C110;09/2025-67903807000105;78D1059768CF5D429316D096B644550E;BE049A930AC77C1A339165E24D8E5F24;BE049A930AC77C1A339165E24D8E5F24;5;;
C110;09/2025-67903807000105;56CB31B986E03B0DB1F01CE9954F706B;1C1B13F610FCB6C0F32040EF7B2FAFD4;1C1B13F610FCB6C0F32040EF7B2FAFD4;6;;
C110;09/2025-67903807000105;67590552AEF1B3B342A280C7C127E61F;C5AEAEE4201DBFC42C75987FF353571F;C5AEAEE4201DBFC42C75987FF353571F;7;;
C110;09/2025-67903807000105;8229814C3DA978403CFF8A9FD7016298;63CA1237E6CF64B7A42E5DA2DA990631;63CA1237E6CF64B7A42E5DA2DA990631;8;;
C110;09/2025-67903807000105;1395244B7B6309D7EBA8B7DF383E335B;DACD842CBAFBD3080E1858C4BA0322C9;DACD842CBAFBD3080E1858C4BA0322C9;9;;
C110;09/2025-67903807000105;A9B780004A4042AE76C86F97C2C23E59;16BD734F484EB1A0ADCDDA0498A49215;16BD734F484EB1A0ADCDDA0498A49215;10;;
C110;09/2025-67903807000105;49EEA6C7AB28DD2335B2F7481731F424;0C643C82F754886AE2360ECA9C9286F5;0C643C82F754886AE2360ECA9C9286F5;11;;
C110;09/2025-67903807000105;EB6ED1B8F09503B466AFC9F884B2AC9A;B060BC04D2A7FB10413D18D174BDAE2F;B060BC04D2A7FB10413D18D174BDAE2F;12;;
C110;09/2025-67903807000105;E40C8D5BF7A51D0872270C93707EF7D5;DBEFC6FF088118B769910A4E0DBAA9B8;DBEFC6FF088118B769910A4E0DBAA9B8;13;;
C110;09/2025-67903807000105;F9A72541E5DEB92D864FE66CAFB93241;2FCA6989B3FFCB7836523BDBDBC44F85;2FCA6989B3FFCB7836523BDBDBC44F85;14;;
C110;09/2025-67903807000105;434C72AA6475F360DD12A921B66D10F6;590ACA190690A5A6BF8E25B0B959C26F;590ACA190690A5A6BF8E25B0B959C26F;15;;
C110;09/2025-67903807000105;51C5AEA1AF068C707E87183997161FA0;E4F9BBFF210BC75AD4CDF02DBDEDA3B5;E4F9BBFF210BC75AD4CDF02DBDEDA3B5;16;;
C110;09/2025-67903807000105;BB91EE782BF15D9A5E73E92175547F4C;F0FC2BB4804154CF8F35C0E488F7EA97;F0FC2BB4804154CF8F35C0E488F7EA97;17;;
C110;09/2025-67903807000105;76F9108C151ED032270D76CFA060AE7D;E9201A85DD512FC00F5CDFB9F7E3F808;E9201A85DD512FC00F5CDFB9F7E3F808;18;;
C110;09/2025-67903807000105;6FB42167A0C50D574C7B4D6BFAE0CD33;56BE65823BBE15C3034200817E231117;56BE65823BBE15C3034200817E231117;19;;
C110;09/2025-67903807000105;7522120CE0421FE31D96E2E9E6B12959;357C68745FA81DF4CC949A3EC399F841;357C68745FA81DF4CC949A3EC399F841;19;;
C110;09/2025-67903807000105;223108D79BBCFDA773110272A19DB4DC;17483BC9781BF714D61894BC06A33925;17483BC9781BF714D61894BC06A33925;19;;
