FILTROS;;;;;;;;;;;
;137 Registros;;;;;;;;0;22068,59;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;IND_EMIT;IND_TIT;DESC_TIT;NUM_TIT;QTD_PARC;VL_TIT;
C140;11/2025-57901554000187;C773FC79CF9E034D737A9355DA41A0A4;E180EA184AEBC0298969D067B409F185;;0 - Própria;99 - Outros;;;;166,25;
C140;11/2025-57901554000187;8DC002B51AF05628C643BFCC01C1C25B;8599EEF1D90CDF5199256676089432C5;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;0845937350D9F50FDD8285177D71D0F1;6B39B22878392A8554803BC537D6A079;;0 - Própria;99 - Outros;;;;178,41;
C140;11/2025-57901554000187;AA2043A9745DB57674C96CAAECEA9B31;44AF0ACB20F6BCAE4111CBF1241B9166;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;11AEAA336622B12F8419C21C0EA5B41B;13296FA5A5E83E09341A150D078093A2;;0 - Própria;99 - Outros;;;;271,19;
C140;11/2025-57901554000187;BF88A1BDC09B52B6A46B89890ECA4087;EA00A73C794894E7D8A256EF7B48D57E;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;6BD86F9E7D144F153C8730D3324AAE37;53D817A6866673E0C5E6A9489C122480;;0 - Própria;99 - Outros;;;;164,05;
C140;11/2025-57901554000187;DF5AD6673AEE7FED16A627CAACAC66EE;AA1FD18B8718FDD8E74E8BB121725A88;;0 - Própria;99 - Outros;;;;170,92;
C140;11/2025-57901554000187;D1AC52EEBB9002E58E96BBE9715C98FA;0B3D8439DDAFC9DFC0A95FF11BA805C8;;0 - Própria;99 - Outros;;;;170,92;
C140;11/2025-57901554000187;5068FBB891E60E0481123DC48E3C27A5;3AADC28002A55EA0FAB508AB838C3BFB;;0 - Própria;99 - Outros;;;;189,45;
C140;11/2025-57901554000187;632E688E067638CABFF9FFC2C9C862A4;362B807200880C26FC225B4D1A119A56;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;08121F256E13B849E78D2688FA6E13ED;677D79172C06F2D12F63030FDFBA55F7;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;EEAB5E258ED078FB5981B546205835AD;6A3C22E8619A6336B50B22E42F6A29DB;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;B8695CA78C07E73536F53DC6C4C36FC5;E9E4F42EFBCA510C013E6EEAF78796B2;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;898DA0F6A8BFD65179275925CDCE1495;067633BC36DE479AEA2EA8FBFDBBD67A;;0 - Própria;99 - Outros;;;;164,05;
C140;11/2025-57901554000187;017A827EA821D8A6F060F13AFBE4EEDD;B35442CEA86ABB0D8CC86FD69C20C9FA;;0 - Própria;99 - Outros;;;;164,05;
C140;11/2025-57901554000187;FB21FC78DF2D7B15AC4DCD494928D1F1;4BF5831F40B1019842E2F442439B8BCF;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;1CBA517C94F3D0FD744F259584BC1779;310E28BCF99184DB714B4FBD484C2808;;0 - Própria;99 - Outros;;;;166,25;
C140;11/2025-57901554000187;94520EB6B678D2F6A93C12B4E47F8FC9;3E58B9DB89EB82B9F58D059BF3F81DA2;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;8E8F82AD2BA06A01575053F2782B6D2B;4A8FFB1307AF4BC0042AECD65DAF3A4C;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;918288A08B17186F6D6E4430588882A2;D5DE8AC6F11A8B2BA4251918E75EAFA5;;0 - Própria;99 - Outros;;;;189,45;
C140;11/2025-57901554000187;51AAFEF9D6941AEDDCF6ED86E8197CAD;F769DC8498541AA2D5F6524942A41F08;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;9C6FD25F4512B356F17BEDC2B887F83A;C4AF9281DEEDD21C7FAEE5E81DE69282;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;C190E8A271E343C66EACBE19F0A96918;61555D06E4DDDBAF01766D102077644D;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;EE9731CEA694A62D6F688BF9A6620CE6;F8CBB4205B199817EAB3EF4FE6A02332;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;D214BB0CA789C77052657E2782FBADB2;99C9CF1FB747F781919F0ECFE13B31FE;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;6A00A1CA8B56F38591EB6E58F94841EE;E2FC753E5D642F98CF9CE4757CDCF999;;0 - Própria;99 - Outros;;;;166,25;
C140;11/2025-57901554000187;23172056073437B6BA4CE95CBCD66BB8;E6ABE85CDFA6D0FEFF5664A9B6459236;;0 - Própria;99 - Outros;;;;164,05;
C140;11/2025-57901554000187;26E9704A7DA354BA91CC7AA948D18F0E;8C1EDB2A1AFCE0411FB9C396A9D84069;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;8D671A2B2FE088365E68CA728398462A;D5F50A5AEA27548B856572CA1A5D3188;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;96424A40B7B078DAC474A2EF8E2F618F;33DFE4B063B42EAAF334C6361D85BCAC;;0 - Própria;99 - Outros;;;;247,8;
C140;11/2025-57901554000187;7AB1091EDF4B1BC3BCA32FE1D2EE9DC4;5BDEF2F5A898E7E20F812E71609A3BEE;;0 - Própria;99 - Outros;;;;74,96;
C140;11/2025-57901554000187;7EC8AEA5E9546CD8CF425B6A39324CCB;B35C94137E0B95AB82C1447B3D53B2BF;;0 - Própria;99 - Outros;;;;170,92;
C140;11/2025-57901554000187;B515BB6BBCBE750F2312F91C88E72E63;D2544BE65D60DC6C61833E45EA762039;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;1386893F929FB10601EA523A35C8D1F9;752AC7B143CCC3F752633A4D50B908CE;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;CFA69DD298710D6E9798DB5399D56C10;898714BE193D5E10932EDEAD94BF0C66;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;4551A52155D91234A782B7B79AD49BE3;7B4F9DB43F2D3E6F8E37DEA8011D07EA;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;49E579C272A4B09C3D0F73E7B890E316;F70F9EA874159754D9C656B5A573B385;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;2B5E1F76C6A33FE1199ADA7D7AC0E7F0;3DE60B2E2AFB79C961C85B6131FB134C;;0 - Própria;99 - Outros;;;;170,92;
C140;11/2025-57901554000187;466CE7726730619DAF27BF0F8499DCA1;62DC5155D21479696F2EC069FA8BA2DB;;0 - Própria;99 - Outros;;;;149,9;
C140;11/2025-57901554000187;30FC70AEF4D3202E2956A7F35A7300E8;3E46E11E6DC66C1C898FBBD0F0C1D853;;0 - Própria;99 - Outros;;;;282,55;
C140;11/2025-57901554000187;EA11DC8D9EF6460AB81DBFACB967F6DC;60E4D297AA77FF42345B5821F54B766F;;0 - Própria;99 - Outros;;;;149,9;
