FILTROS;;;;;;;;;;
;12 Registros;;;;;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;COD_MOD;NR_SAT;DT_DOC;DOC_INI;DOC_FIM;
C860;09/2025-67903807000105;75331923E074C4E8444250BAE4B68846;431620C3D76D6386C5AE8736865C0B2A;8C02D6BFBBD656044DF791E2528A9AE0;59;1004954;45901;110987;111074;
C860;09/2025-67903807000105;DDEED22E2F23121A1470CA7869F3799B;431620C3D76D6386C5AE8736865C0B2A;8C02D6BFBBD656044DF791E2528A9AE0;59;1004954;45903;111075;111131;
C860;09/2025-67903807000105;CE170513BB57918EAB8889783E2D7313;431620C3D76D6386C5AE8736865C0B2A;8C02D6BFBBD656044DF791E2528A9AE0;59;1004954;45904;111132;111132;
C860;09/2025-67903807000105;9079527539682F6C45E24CE62FB10411;431620C3D76D6386C5AE8736865C0B2A;8C02D6BFBBD656044DF791E2528A9AE0;59;1330940;45901;96387;96638;
C860;09/2025-67903807000105;FFBA3B3C5DB4BB671A72CA18CC767435;431620C3D76D6386C5AE8736865C0B2A;8C02D6BFBBD656044DF791E2528A9AE0;59;1330940;45902;96639;96897;
C860;09/2025-67903807000105;16E7BA560F460A09D9BB1C7672EBC830;431620C3D76D6386C5AE8736865C0B2A;8C02D6BFBBD656044DF791E2528A9AE0;59;1330940;45903;96898;97165;
C860;09/2025-67903807000105;F1C88996101A330424DF051B5C538050;431620C3D76D6386C5AE8736865C0B2A;8C02D6BFBBD656044DF791E2528A9AE0;59;1330940;45904;97166;97198;
C860;09/2025-67903807000105;245D7B6FA515EB8AC7919972D67707AC;431620C3D76D6386C5AE8736865C0B2A;8C02D6BFBBD656044DF791E2528A9AE0;59;1377487;45901;5795;5806;
C860;09/2025-67903807000105;BBFFAF4B5F50596BB114B477237AE68B;431620C3D76D6386C5AE8736865C0B2A;8C02D6BFBBD656044DF791E2528A9AE0;59;1503206;45901;33341;33616;
C860;09/2025-67903807000105;12A8CE23266AD1ED7F1C0F2C6BFDAB19;431620C3D76D6386C5AE8736865C0B2A;8C02D6BFBBD656044DF791E2528A9AE0;59;1503206;45902;33617;33859;
C860;09/2025-67903807000105;D1861B44FBFF17B0C6009B19E5804F8D;431620C3D76D6386C5AE8736865C0B2A;8C02D6BFBBD656044DF791E2528A9AE0;59;1503206;45903;33860;34143;
C860;09/2025-67903807000105;99C1709703EA013F35A0C87215E46825;431620C3D76D6386C5AE8736865C0B2A;8C02D6BFBBD656044DF791E2528A9AE0;59;1503206;45904;34144;34191;
