FILTROS;;;;;;;;;;;;;;;;;;
;5345 Registros;;;;;;135078,32;5940,75999999999;;129137,56;;532,900000000001;;129137,56;;2454,30999999999;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;COD_ITEM;CFOP;VL_ITEM;VL_DESC;CST_PIS;VL_BC_PIS;ALIQ_PIS;VL_PIS;CST_COFINS;VL_BC_COFINS;ALIQ_COFINS;VL_COFINS;COD_CTA;
C870;09/2025-67903807000105;F139EF212CCAA40D5B25324C7949C035;;75331923E074C4E8444250BAE4B68846;97898948265606;5102;8,98;0;06 - Operação Tributável a Alíquota Zero;8,98;0;0;06 - Operação Tributável a Alíquota Zero;8,98;0;0;408;
C870;09/2025-67903807000105;FE0A5C09E5D230CC245163C961D4CC26;;75331923E074C4E8444250BAE4B68846;97898948271422;5102;31,38;0;06 - Operação Tributável a Alíquota Zero;31,38;0;0;06 - Operação Tributável a Alíquota Zero;31,38;0;0;408;
C870;09/2025-67903807000105;F20297D8171DCDEEED94B8A30E09AB13;;75331923E074C4E8444250BAE4B68846;97898948271423;5102;19,92;0;06 - Operação Tributável a Alíquota Zero;19,92;0;0;06 - Operação Tributável a Alíquota Zero;19,92;0;0;408;
C870;09/2025-67903807000105;DF98B085492F20B470864D138FD6796F;;75331923E074C4E8444250BAE4B68846;97898948271424;5102;14,87;0,67;06 - Operação Tributável a Alíquota Zero;14,2;0;0;06 - Operação Tributável a Alíquota Zero;14,2;0;0;408;
C870;09/2025-67903807000105;BBDDB9882FA1A1C5475534029C2CD2E4;;75331923E074C4E8444250BAE4B68846;97898948271425;5102;26,01;0;06 - Operação Tributável a Alíquota Zero;26,01;0;0;06 - Operação Tributável a Alíquota Zero;26,01;0;0;408;
C870;09/2025-67903807000105;106414FAEF2BF61C7C4A1AB0EDC0C68C;;75331923E074C4E8444250BAE4B68846;97898948271426;5102;47,62;0;06 - Operação Tributável a Alíquota Zero;47,62;0;0;06 - Operação Tributável a Alíquota Zero;47,62;0;0;408;
C870;09/2025-67903807000105;006E5ADA67A4C7A3ACBB1DB4974B3737;;75331923E074C4E8444250BAE4B68846;97898948271427;5102;45,87;2,07;06 - Operação Tributável a Alíquota Zero;43,8;0;0;06 - Operação Tributável a Alíquota Zero;43,8;0;0;408;
C870;09/2025-67903807000105;9ACE1FD782016A20F79CBF42ACD87A10;;75331923E074C4E8444250BAE4B68846;97898948271428;5102;20,98;2,52;01 - Operação Tributável com Alíquota Básica;18,46;0,0165;0,3;01 - Operação Tributável com Alíquota Básica;18,46;0,076;1,4;408;
C870;09/2025-67903807000105;85E33CC0A9CFFBE7E53C5D9797508BE8;;75331923E074C4E8444250BAE4B68846;97898948271429;5102;113,67;0;06 - Operação Tributável a Alíquota Zero;113,67;0;0;06 - Operação Tributável a Alíquota Zero;113,67;0;0;408;
