FILTROS;;;;;;;;;;;;;;;;;;;;;;;
;94 Registros;;;;;;;;12858,39;;12855,22;;212,1;;12855,22;;977,06;;;;;;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;IND_OPER;COD_PART;COD_ITEM;DT_OPER;VL_OPER;CST_PIS;VL_BC_PIS;ALIQ_PIS;VL_PIS;CST_COFINS;VL_BC_COFINS;ALIQ_COFINS;VL_COFINS;NAT_BC_CRED;IND_ORIG_CRED;COD_CTA;COD_CCUS;DESC_DOC_OPER;
F100;09/2025-67903807000105;6D27DA1942F1EC58D012AF2B2E4C8A46;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000087;70007;45901;298,5;01 - Operação Tributável com Alíquota Básica;298,5;0,0165;4,93;01 - Operação Tributável com Alíquota Básica;298,5;0,076;22,69;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;2E22BD56C27DEE8CD621325A2C8598F7;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000002078;97898948125313;45908;67,84;01 - Operação Tributável com Alíquota Básica;67,84;0,0165;1,12;01 - Operação Tributável com Alíquota Básica;67,84;0,076;5,16;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;2A6A33F070CAEC93A085EC198BC00C5E;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000002078;97898948171744;45908;67,84;01 - Operação Tributável com Alíquota Básica;67,84;0,0165;1,12;01 - Operação Tributável com Alíquota Básica;67,84;0,076;5,16;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;A34E8D507B2CA22EAE37CEFC25C96F7C;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000022;97898948128728;45909;99,6;01 - Operação Tributável com Alíquota Básica;99,6;0,0165;1,64;01 - Operação Tributável com Alíquota Básica;99,6;0,076;7,57;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;6FF7338335D7B7634FC8A2BD8CA2CE56;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000565;15466;45904;274,01;01 - Operação Tributável com Alíquota Básica;274,01;0,0165;4,52;01 - Operação Tributável com Alíquota Básica;274,01;0,076;20,82;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;B1BEB0F152FC43FF25D9E95C5AEB02F8;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000001177;97898948146034;45909;222,4;01 - Operação Tributável com Alíquota Básica;222,4;0,0165;3,67;01 - Operação Tributável com Alíquota Básica;222,4;0,076;16,9;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;98DFC42F520F33C3F76DC6EEBBE021A7;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000043;25013;45903;27,83;01 - Operação Tributável com Alíquota Básica;27,83;0,0165;0,46;01 - Operação Tributável com Alíquota Básica;27,83;0,076;2,12;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;A133FC6A8E427C22E0A496E0A0E9E047;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000043;97898948226481;45903;45,79;01 - Operação Tributável com Alíquota Básica;45,79;0,0165;0,76;01 - Operação Tributável com Alíquota Básica;45,79;0,076;3,48;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;2CD29E6AFE77584D427D77ED864B3FC1;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000001022;1807;45912;439,32;01 - Operação Tributável com Alíquota Básica;439,32;0,0165;7,25;01 - Operação Tributável com Alíquota Básica;439,32;0,076;33,39;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;EC1658A18B5EE08DACF0BA5915E498BE;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000087;120228;45910;1148,4;01 - Operação Tributável com Alíquota Básica;1148,4;0,0165;18,95;01 - Operação Tributável com Alíquota Básica;1148,4;0,076;87,28;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;D3FA00758B5BDAF67C0EE01AF704BF9F;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000099;97898948127174;45923;87,18;01 - Operação Tributável com Alíquota Básica;87,18;0,0165;1,44;01 - Operação Tributável com Alíquota Básica;87,18;0,076;6,63;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;F0AA07584F2BDE09A337A1FF8F7BBABF;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000002167;25211;45904;60,72;01 - Operação Tributável com Alíquota Básica;60,72;0,0165;1;01 - Operação Tributável com Alíquota Básica;60,72;0,076;4,61;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;983198D48F368B10800C1155D179AA0F;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000002437;1000003;45912;8,49;01 - Operação Tributável com Alíquota Básica;8,49;0,0165;0,14;01 - Operação Tributável com Alíquota Básica;8,49;0,076;0,65;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;4913B4D2F039B77B9F075AD919C4DD75;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000002437;1000214;45912;5,99;01 - Operação Tributável com Alíquota Básica;5,99;0,0165;0,1;01 - Operação Tributável com Alíquota Básica;5,99;0,076;0,46;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;AEF683BBFCADB19C507AD88DF91BD486;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000002437;1000003;45919;8,49;01 - Operação Tributável com Alíquota Básica;8,49;0,0165;0,14;01 - Operação Tributável com Alíquota Básica;8,49;0,076;0,65;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;23A2534DD3A37A1CE2A4F13898ED0086;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000002437;1000004;45919;8,69;01 - Operação Tributável com Alíquota Básica;8,69;0,0165;0,14;01 - Operação Tributável com Alíquota Básica;8,69;0,076;0,66;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;D5018BC3ABC382D3A272BCE3390C8746;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000163;04.350;45915;85,74;01 - Operação Tributável com Alíquota Básica;85,74;0,0165;1,41;01 - Operação Tributável com Alíquota Básica;85,74;0,076;6,52;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;B6763430429D073B8F00A74B9C04DFDE;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000163;04.351;45915;85,74;01 - Operação Tributável com Alíquota Básica;85,74;0,0165;1,41;01 - Operação Tributável com Alíquota Básica;85,74;0,076;6,52;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;F5F7B6009EE48602808684AA48862A4E;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000163;04.352;45915;85,74;01 - Operação Tributável com Alíquota Básica;85,74;0,0165;1,41;01 - Operação Tributável com Alíquota Básica;85,74;0,076;6,52;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;50A9BB1BFCA6ACFF8C44AC4F1FBD32F5;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000176;97898948129505;45903;145,5;01 - Operação Tributável com Alíquota Básica;145,5;0,0165;2,4;01 - Operação Tributável com Alíquota Básica;145,5;0,076;11,06;;;470;;Receita decorrente de entradas recebidas em bonificação;
F100;09/2025-67903807000105;40CB77A18E1965909DE0ADBAA34DD827;;42C6E61345793C5A72B20C3B4CFA5DD0;1;FOR000000176;97898948129539;45903;25,2;01 - Operação Tributável com Alíquota Básica;25,2;0,0165;0,42;01 - Operação Tributável com Alíquota Básica;25,2;0,076;1,92;;;470;;Receita decorrente de entradas recebidas em bonificação;
