FILTROS;;;;;;;;;;;;;;;
;15219 Registros;;;;;;;791024,370000009;6564344,30999997;;;;;0;
REG;ARQUIVO;CHV_REG;CHV_PAI_FISCAL;CHV_PAI_CONTRIBUICOES;COD_ITEM;UNID;QTD;VL_UNIT;VL_ITEM;IND_PROP;COD_PART;TXT_COMPL;COD_CTA;VL_ITEM_IR;
H010;11/2025-07329932000121;8A9B448E2AE34A4C9FAAB889C76BE79E;F7E4C6F0D0B08535E7AADA5477F8CAB1;;7;LA;29;76,3;2212,7;0;;;55;0;
H010;11/2025-07329932000121;62F64F5FBB071CCAFAA9085A09701120;F7E4C6F0D0B08535E7AADA5477F8CAB1;;10;UN;1;1,36;1,36;0;;;55;0;
H010;11/2025-07329932000121;9E63BA629075C741C29C706E5A03C08B;F7E4C6F0D0B08535E7AADA5477F8CAB1;;11;LA;28;8,86;248,08;0;;;55;0;
H010;11/2025-07329932000121;9DC06491BC1970735FCF0AB5417DBA91;F7E4C6F0D0B08535E7AADA5477F8CAB1;;21;UN;7062;5,22;36863,64;0;;;55;0;
H010;11/2025-07329932000121;1FED5F8D8A8D2EF18AA84B02C425F96A;F7E4C6F0D0B08535E7AADA5477F8CAB1;;29;UN;7;0,74;5,18;0;;;55;0;
H010;11/2025-07329932000121;4E83D8B4C748A4B3D4FCDDBBA9047A51;F7E4C6F0D0B08535E7AADA5477F8CAB1;;31;UN;22;0,78;17,16;0;;;55;0;
H010;11/2025-07329932000121;40DA4DA69E8C7EC0701B55D4313AB824;F7E4C6F0D0B08535E7AADA5477F8CAB1;;32;UN;18;64,61;1162,98;0;;;55;0;
H010;11/2025-07329932000121;ECD0617C458AC5D470559D6078C51DCC;F7E4C6F0D0B08535E7AADA5477F8CAB1;;38;UN;2;1,88;3,76;0;;;55;0;
H010;11/2025-07329932000121;6B5513C9C2E2379450EBE4E397BDFF9C;F7E4C6F0D0B08535E7AADA5477F8CAB1;;46;UN;117;2,58;301,86;0;;;55;0;
H010;11/2025-07329932000121;9716F2F3CEA684EFE0BE5E80877DF0C5;F7E4C6F0D0B08535E7AADA5477F8CAB1;;49;UN;7;2,31;16,17;0;;;55;0;
H010;11/2025-07329932000121;47B66BC7935C4984FB18EC12B0DD96B8;F7E4C6F0D0B08535E7AADA5477F8CAB1;;51;UN;180;1,92;345,6;0;;;55;0;
H010;11/2025-07329932000121;B67EC08BF130F6F659A4D72CCA2A79C1;F7E4C6F0D0B08535E7AADA5477F8CAB1;;52;UN;44;1,96;86,24;0;;;55;0;
H010;11/2025-07329932000121;D671E133309C2647E8E44C5DB1C9A2CD;F7E4C6F0D0B08535E7AADA5477F8CAB1;;65;KG;35,51;0,52;18,47;0;;;55;0;
H010;11/2025-07329932000121;3BD22F0D4E12317656907F0FFB4BD2ED;F7E4C6F0D0B08535E7AADA5477F8CAB1;;66;UN;3;42,96;128,88;0;;;55;0;
H010;11/2025-07329932000121;05194FF56FEEC9CC67E9CB779EE28D21;F7E4C6F0D0B08535E7AADA5477F8CAB1;;68;KG;1403;0,05;70,15;0;;;55;0;
H010;11/2025-07329932000121;81E5CB450ACA0AE6626611B74F4071F2;F7E4C6F0D0B08535E7AADA5477F8CAB1;;78;UN;211;1,53;322,83;0;;;55;0;
H010;11/2025-07329932000121;AE9B322563E65A17E5BC9F1540997EDA;F7E4C6F0D0B08535E7AADA5477F8CAB1;;80;UN;1272;0,6;763,2;0;;;55;0;
